StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3200;60201262;Bhf. Meidling S U, Eichenstraße;Wien;49000001;16.3319468;48.1748135
3201;60201373;Tanbruckgasse;Wien;49000001;16.3286500;48.1771677
3202;60201546;Ruckergasse;Wien;49000001;16.3261976;48.1773893
3203;60200032;Ratschkygasse;Wien;49000001;16.3235206;48.1776409
3204;60201212;Schwenkgasse;Wien;49000001;16.3210951;48.1788749
3205;60201249;Tivoligasse;Wien;49000001;16.3212479;48.1805281
3206;60200028;Aichholzgasse;Wien;49000001;16.3240147;48.1803125
3207;60200863;Meidling Hauptstraße U;Wien;49000001;16.3286051;48.1835110
3213;60201126;Haschkagasse;Wien;49000001;16.3269162;48.1811331
3214;60200028;Aichholzgasse;Wien;49000001;16.3240775;48.1803843
3215;60201249;Tivoligasse;Wien;49000001;16.3212568;48.1806180
3216;60201212;Gatterholzgasse;Wien;49000001;16.3207178;48.1781800
3217;60201028;Pohlgasse;Wien;49000001;16.3236553;48.1786532
3218;60201546;Ruckergasse;Wien;49000001;16.3270150;48.1783418
3219;60201373;Tanbruckgasse;Wien;49000001;16.3296561;48.1781321
3220;60201545;Zeleborgasse;Wien;49000001;16.3337614;48.1768203
3221;60200865;Dörfelstraße;Wien;49000001;16.3342824;48.1754365
3222;60201625;Inzersdorf, Birostraße;Wien;49000001;16.3512875;48.1367297
3223;60201626;Birostraße Mitte;Wien;49000001;16.3541442;48.1385461
3224;60200483;Haspingerplatz;Wien;49000001;16.4045935;48.2775075
3225;60201718;Spittelbreitengasse;Wien;49000001;16.3291530;48.1758558
3226;60201212;Gatterholzgasse;Wien;49000001;16.3216251;48.1780123
3227;60201249;Tivoligasse;Wien;49000001;16.3222001;48.1804502
3228;60201722;Ernanigasse;Wien;49000001;16.3526440;48.1432278
3229;60201722;Ernanigasse;Wien;49000001;16.3527967;48.1431918
3230;60201612;Cossmanngasse;Wien;49000001;16.2674477;48.1970394
3231;60201613;Deutschordenstraße;Wien;49000001;16.2688671;48.1992789
3232;60201789;Linzer Straße, Flötzersteig;Wien;49000001;16.2657320;48.2006380
3233;;Stockholmer Platz;;;0;0
3234;60201614;Wahlberggasse;Wien;49000001;16.2624621;48.2051225
3235;60201615;Henckellgasse;Wien;49000001;16.2608541;48.2062540
3236;60201616;Hüttelberg;Wien;49000001;16.2614470;48.2087205
3237;60201615;Henckellgasse;Wien;49000001;16.2604948;48.2061283
3238;60201617;Steinböckengasse;Wien;49000001;16.2602433;48.2037095
3239;60201116;Rosentalgasse;Wien;49000001;16.2610877;48.2023864
3240;60200066;Angermayergasse;Wien;49000001;16.2648247;48.1843135
3241;60201790;Bahnhofstraße;Wien;49000001;16.2639443;48.2008955
3242;60200560;Bhf. Hütteldorf S U;Wien;49000001;16.2612314;48.1979256
3243;;Albert-Schweitzer-Gasse;;;0;0
3244;60200323;Auhof;Wien;49000001;16.2177350;48.2077207
3245;60202003;Wolfgang-Pauli-Gasse;Wien;49000001;16.2158665;48.2069365
3246;60200322;Zimbagasse;Wien;49000001;16.2190555;48.2061402
3247;60202004;Weidlingau, Herzmanskystraße;Wien;49000001;16.2148604;48.2094509
